,Gender,Age,Relationship status,Highest Educational Qualification,Field of Education,Years of working experience,Years within current field of employment,Employee code/number,Job type,Job Location,Seniority Level,Salary,avg Hours worked per week,Value of benefits/allowance provided,Performance Rating,Training/upskilling opportunities provided,Unpaid Overtime hours per week,Employee department,Years in current role,Years with current supervisor,Years since last promotion,number of employee in company,last salary adjustment percentage,average Travel on work percentage,Work-Life balance,employer Recognition/award,Job satisfaction,Company satisfaction,Label
534,Female,45,Divorced,Doctorate,Medical,8,5,996,Contract,On-Site,Junior,2270,54,9794,1,strongly agree,2,Technical,3,2,0,2383,3.94,16,neutral,agree,agree,strongly agree,0
535,Male,43,Single,Post-graduate,Life Sciences,7,3,1813,Fixed-term,Remote,Graduate/intern,2438,34,3669,4,strongly disagree,3,HR,2,2,1,9621,8.48,3,disagree,strongly agree,neutral,agree,0
536,Female,29,Divorced,Post-graduate,Life Sciences,8,7,1143,Casual/adhoc,On-Site,Mid,3291,44,9495,1,neutral,0,Finance,5,1,1,8769,4.93,42,disagree,agree,disagree,agree,0
537,Male,53,Divorced,Undergraduate,Medical,22,17,981,Fixed-term,Remote,Junior,14852,37,9857,1,strongly disagree,4,HR,13,2,15,7098,4.72,25,strongly agree,strongly disagree,neutral,strongly agree,0
538,Female,49,Married,Undergraduate,Medical,10,3,1509,Permanent,Remote,Junior,4789,39,9729,1,strongly disagree,7,Operations,2,2,1,5513,4.9,3,neutral,agree,strongly disagree,agree,0
539,Female,47,Divorced,Post-graduate,Life Sciences,28,22,1827,Permanent,Remote,Mid,10333,55,6440,2,disagree,6,Management,11,10,14,1369,8.47,0,neutral,strongly agree,disagree,neutral,0
540,Male,24,Married,Post-graduate,Medical,5,5,1707,Contract,Remote,Executive,4401,45,7040,5,neutral,2,Finance,3,4,0,7968,8.32,6,neutral,strongly disagree,neutral,agree,0
541,Male,41,Married,Doctorate,Life Sciences,7,5,200,Fixed-term,Remote,Junior,2238,37,4365,2,strongly disagree,8,Finance,0,4,1,2703,4.04,29,neutral,neutral,strongly disagree,agree,0
542,Male,47,Single,School,Medical,5,0,467,Contract,Hybrid,Senior,2976,30,3310,2,agree,4,Technical,0,0,0,6061,3.33,49,neutral,strongly disagree,neutral,strongly agree,0
543,Female,32,Married,Undergraduate,Life Sciences,6,4,330,Contract,On-Site,Junior,3931,41,6776,1,strongly disagree,8,Management,3,2,1,9761,4.92,8,neutral,disagree,disagree,strongly agree,0
544,Male,26,Single,Post-graduate,Medical,8,7,1952,Contract,Hybrid,Executive,2867,34,7652,2,agree,6,HR,7,6,7,8669,5.73,34,disagree,strongly disagree,strongly disagree,strongly agree,0
545,Male,35,Single,Doctorate,Marketing,16,15,100,Permanent,Remote,Executive,4312,32,7853,1,disagree,10,Operations,13,8,2,7657,2.38,7,neutral,neutral,strongly disagree,strongly agree,0
546,Female,30,Single,Post-graduate,Life Sciences,5,5,194,Fixed-term,On-Site,Senior,2632,30,9142,5,strongly disagree,6,Technical,4,4,0,1780,7.94,23,disagree,agree,neutral,agree,0
547,Male,30,Married,Doctorate,Technical Degree,9,4,1568,Contract,Remote,Junior,9250,33,13622,4,strongly agree,7,HR,2,3,1,8533,4.86,18,neutral,strongly disagree,disagree,strongly agree,0
548,Male,36,Single,Doctorate,Other,8,6,949,Fixed-term,On-Site,Executive,4678,37,6708,1,disagree,4,Technical,2,1,0,9211,3.34,35,neutral,strongly disagree,strongly agree,strongly agree,0
549,Female,30,Divorced,Post-graduate,Marketing,10,10,456,Fixed-term,Hybrid,Mid,6118,32,5388,5,agree,2,Operations,9,2,1,5782,1.07,49,neutral,strongly disagree,neutral,neutral,0
550,Male,34,Single,Post-graduate,Other,15,13,1478,Contract,On-Site,Graduate/intern,4759,39,8592,4,disagree,6,Technical,9,12,3,8184,2.39,42,neutral,strongly disagree,strongly disagree,agree,0
551,Male,49,Married,Doctorate,Technical Degree,22,9,1138,Casual/adhoc,On-Site,Graduate/intern,13120,31,7944,3,strongly disagree,11,HR,8,3,2,5467,9.49,26,neutral,neutral,disagree,strongly agree,0
552,Male,39,Divorced,Doctorate,Other,7,2,1871,Contract,On-Site,Graduate/intern,3902,40,6350,1,neutral,2,Technical,2,2,2,169,3.05,31,neutral,strongly agree,agree,strongly agree,0
553,Female,43,Married,Post-graduate,Medical,21,16,1866,Casual/adhoc,On-Site,Junior,19392,54,9321,1,neutral,4,Management,12,14,6,4024,1.69,13,neutral,strongly agree,neutral,neutral,0
554,Female,48,Married,School,Medical,15,0,473,Permanent,On-Site,Senior,12504,39,5876,3,agree,5,Operations,0,0,0,6300,4.61,17,strongly disagree,strongly disagree,neutral,agree,0
555,Male,41,Single,Undergraduate,Life Sciences,16,14,599,Casual/adhoc,Remote,Executive,6230,50,7242,3,agree,7,HR,3,10,1,2107,3.07,27,neutral,neutral,strongly agree,strongly agree,0
556,Male,29,Married,Doctorate,Medical,4,2,2027,Fixed-term,On-Site,Mid,4787,43,4747,1,neutral,22,Management,2,2,2,9092,0.35,28,agree,neutral,strongly agree,strongly disagree,1
557,Female,25,Single,Post-graduate,Medical,2,2,1303,Contract,On-Site,Mid,2096,36,5604,3,agree,8,Operations,2,1,2,8219,3.23,15,disagree,strongly disagree,disagree,strongly agree,0
558,Female,22,Married,Undergraduate,Other,4,4,1605,Permanent,Hybrid,Junior,2814,56,4080,2,disagree,12,Technical,2,3,1,2879,5.44,34,disagree,disagree,neutral,agree,0
559,Male,31,Married,5,Human Resources,2,1,1842,Fixed-term,On-Site,Graduate/intern,2956,56,0,4,strongly agree,18,Finance,0,0,0,5020,5.52,46,neutral,strongly disagree,strongly disagree,strongly disagree,1
560,Female,49,Single,Doctorate,Life Sciences,22,3,396,Permanent,Hybrid,Junior,18665,31,10237,4,strongly agree,7,Technical,2,2,1,855,3.57,30,neutral,disagree,strongly disagree,agree,0
561,Female,47,Married,School,Medical,14,13,2000,Contract,Remote,Senior,11957,38,9421,4,disagree,6,Finance,8,12,5,6595,4.47,3,strongly disagree,strongly disagree,disagree,agree,0
562,Male,34,Single,Doctorate,Marketing,10,9,60,Fixed-term,On-Site,Senior,4568,45,9555,2,strongly agree,5,Operations,5,7,8,6035,9.66,36,neutral,disagree,neutral,strongly disagree,0
563,Male,45,Single,Doctorate,Medical,12,4,1922,Casual/adhoc,Hybrid,Executive,5399,42,5902,3,strongly disagree,7,Operations,2,3,0,9613,3.77,16,neutral,disagree,neutral,neutral,0
564,Female,40,Single,Post-graduate,Life Sciences,18,4,1641,Casual/adhoc,Hybrid,Executive,7945,38,7928,5,disagree,3,Finance,2,3,3,2430,2.58,38,disagree,strongly disagree,strongly agree,strongly agree,0
565,Female,50,Married,Post-graduate,Life Sciences,25,3,1317,Contract,Remote,Senior,16880,49,4651,3,agree,6,Finance,2,2,1,5805,2.43,47,neutral,disagree,strongly disagree,agree,0
566,Female,49,Married,Doctorate,Life Sciences,10,9,1617,Permanent,On-Site,Senior,3211,33,7837,1,disagree,0,Management,6,4,1,8401,4.58,45,disagree,agree,strongly disagree,agree,0
567,Male,50,Divorced,School,Life Sciences,28,10,385,Permanent,On-Site,Senior,19144,51,10277,4,neutral,2,Finance,4,6,1,1116,7.6,25,disagree,strongly agree,disagree,disagree,0
568,Female,25,Married,Post-graduate,Life Sciences,5,4,350,Fixed-term,Hybrid,Junior,4898,39,10339,3,agree,9,Operations,2,2,1,7447,2.06,47,neutral,neutral,neutral,strongly agree,0
569,Female,43,Single,Doctorate,Marketing,23,21,1293,Contract,On-Site,Senior,10231,55,11560,5,neutral,9,Operations,7,17,15,8316,7.09,38,strongly agree,disagree,strongly agree,strongly agree,0
570,Female,45,Single,Post-graduate,Life Sciences,1,1,834,Contract,Hybrid,Mid,2274,55,9478,1,agree,6,Operations,0,0,0,5038,0.21,40,neutral,disagree,neutral,neutral,0
571,Female,34,Single,Post-graduate,Marketing,4,3,1281,Contract,On-Site,Graduate/intern,4538,51,8451,2,strongly agree,3,HR,2,2,0,2938,4.19,3,neutral,neutral,strongly disagree,strongly agree,0
572,Female,30,Single,Doctorate,Marketing,9,6,299,Permanent,Hybrid,Senior,6696,41,203,2,disagree,9,HR,3,1,0,837,7.76,29,disagree,disagree,strongly disagree,agree,1
573,Female,33,Single,Post-graduate,Marketing,1,1,485,Fixed-term,On-Site,Graduate/intern,2851,46,4242,5,strongly disagree,7,Technical,0,0,0,6300,3.39,29,neutral,neutral,neutral,disagree,1
574,Male,34,Married,Undergraduate,Human Resources,4,3,847,Casual/adhoc,Remote,Junior,3737,43,5885,1,agree,3,HR,2,2,0,8471,5.64,21,strongly disagree,strongly disagree,strongly agree,agree,0
575,Male,39,Married,5,Medical,10,7,1618,Fixed-term,On-Site,Graduate/intern,5377,43,4469,4,agree,0,Operations,7,7,7,331,2.05,10,neutral,agree,strongly disagree,strongly agree,0
576,Male,29,Married,Doctorate,Other,7,7,454,Casual/adhoc,On-Site,Junior,2119,54,3363,3,neutral,15,Finance,7,7,0,2017,7.42,1,disagree,agree,strongly disagree,strongly disagree,1
577,Male,35,Single,Doctorate,Life Sciences,17,17,691,Permanent,Remote,Mid,6646,31,11686,1,strongly agree,8,Management,11,8,11,8634,0.52,43,neutral,strongly agree,strongly agree,agree,0
578,Female,34,Divorced,Post-graduate,Human Resources,11,3,590,Permanent,On-Site,Junior,9950,50,456,2,neutral,21,HR,2,2,0,6018,8.53,11,neutral,disagree,strongly disagree,strongly disagree,1
579,Female,30,Divorced,Post-graduate,Technical Degree,8,3,197,Casual/adhoc,Remote,Junior,3204,54,3722,5,neutral,11,HR,2,2,2,2723,1.98,29,neutral,strongly agree,strongly disagree,agree,0
580,Male,29,Single,Post-graduate,Technical Degree,7,6,300,Permanent,On-Site,Executive,2058,49,273,5,strongly agree,19,HR,2,5,1,8746,8.74,35,disagree,strongly disagree,neutral,strongly disagree,1
581,Male,45,Married,Post-graduate,Other,9,8,606,Contract,Hybrid,Senior,4805,40,7106,3,strongly disagree,3,Management,7,7,3,6501,3.53,17,agree,agree,disagree,strongly agree,0
582,Male,32,Single,Doctorate,Life Sciences,1,1,911,Contract,Hybrid,Senior,2795,45,1818,5,neutral,12,Finance,0,1,0,7172,7.23,25,strongly disagree,strongly disagree,strongly agree,strongly disagree,1
583,Male,28,Married,Post-graduate,Medical,5,5,377,Contract,On-Site,Mid,2070,48,4746,5,neutral,3,HR,2,4,0,2376,3.19,6,disagree,strongly disagree,agree,neutral,0
584,Male,42,Married,Undergraduate,Other,8,2,591,Contract,On-Site,Mid,2093,60,7425,1,agree,0,HR,2,0,2,7493,9.06,0,neutral,disagree,neutral,agree,0
585,Male,58,Single,Doctorate,Life Sciences,40,31,825,Permanent,On-Site,Senior,19246,52,2049,4,strongly agree,14,HR,15,8,13,8887,1.27,25,neutral,strongly disagree,disagree,strongly disagree,1
586,Male,32,Single,Doctorate,Marketing,7,2,1862,Contract,Hybrid,Executive,9907,35,2024,3,disagree,17,Finance,2,2,2,3974,1.79,22,disagree,agree,disagree,strongly disagree,1
587,Male,33,Married,School,Medical,15,7,582,Casual/adhoc,On-Site,Senior,13610,53,2136,1,strongly disagree,15,Technical,6,7,7,4630,4.93,25,agree,strongly agree,neutral,neutral,1
588,Female,46,Divorced,Post-graduate,Technical Degree,25,19,1863,Permanent,Hybrid,Executive,13225,48,9886,4,strongly disagree,8,Finance,17,8,2,7264,0.82,44,neutral,agree,strongly disagree,neutral,0
589,Male,39,Divorced,Post-graduate,Life Sciences,7,2,1812,Casual/adhoc,Remote,Mid,4127,34,6734,1,strongly agree,15,Finance,1,2,2,4597,1.96,5,neutral,disagree,strongly agree,neutral,0
590,Male,49,Divorced,Doctorate,Life Sciences,29,8,1484,Casual/adhoc,Hybrid,Graduate/intern,10466,55,7021,1,agree,6,HR,7,7,0,8033,9.44,5,neutral,agree,disagree,agree,0
591,Female,58,Married,Post-graduate,Life Sciences,29,1,1938,Fixed-term,Hybrid,Mid,17875,33,6406,5,agree,1,HR,0,0,0,2235,9.76,43,disagree,neutral,agree,strongly disagree,0
592,Male,42,Single,School,Medical,8,2,875,Casual/adhoc,Remote,Mid,2515,44,5957,4,strongly agree,9,Technical,1,2,2,6827,3.76,7,neutral,strongly agree,strongly agree,strongly agree,0
593,Male,38,Married,School,Medical,17,1,282,Fixed-term,Hybrid,Junior,6673,58,4055,3,agree,13,Finance,0,0,0,1665,9.23,23,neutral,neutral,strongly disagree,strongly disagree,1
594,Male,40,Married,Undergraduate,Marketing,8,6,492,Permanent,On-Site,Junior,6380,33,219,3,strongly disagree,17,Technical,4,0,1,408,5.45,21,neutral,neutral,neutral,strongly disagree,1
595,Male,28,Married,Undergraduate,Life Sciences,7,7,1927,Casual/adhoc,On-Site,Junior,6834,49,7859,4,strongly disagree,0,Management,7,7,0,8634,2.7,18,neutral,disagree,strongly agree,agree,0
596,Female,36,Married,Doctorate,Other,15,1,1847,Permanent,Hybrid,Junior,6962,39,7517,5,disagree,2,Technical,0,0,0,8727,7.02,36,neutral,strongly disagree,disagree,agree,0
597,Male,35,Divorced,Undergraduate,Medical,15,7,1804,Permanent,On-Site,Executive,5762,53,3603,2,strongly agree,7,Technical,7,7,1,8468,6.59,17,neutral,neutral,strongly agree,strongly agree,0
598,Male,31,Divorced,Undergraduate,Life Sciences,13,13,1453,Casual/adhoc,Hybrid,Senior,10793,51,7981,1,neutral,9,Operations,7,9,9,238,9.89,30,neutral,agree,agree,strongly disagree,0
599,Female,40,Married,Undergraduate,Life Sciences,5,5,1598,Permanent,On-Site,Graduate/intern,4639,32,4412,5,neutral,2,HR,4,2,1,293,2.65,36,neutral,strongly disagree,strongly disagree,strongly disagree,0
600,Male,32,Single,Doctorate,Marketing,4,0,1853,Contract,On-Site,Mid,4648,55,8770,4,disagree,1,Technical,0,0,0,3357,6.72,29,agree,agree,strongly agree,neutral,0
601,Female,38,Divorced,Undergraduate,Life Sciences,11,7,1355,Fixed-term,Hybrid,Executive,6893,34,5127,1,disagree,5,Technical,7,7,1,3335,0.52,41,neutral,agree,strongly disagree,neutral,0
602,Male,53,Married,Post-graduate,Life Sciences,32,5,730,Contract,On-Site,Graduate/intern,14814,35,8544,3,agree,12,HR,1,3,1,1042,1.14,32,neutral,strongly disagree,neutral,neutral,0
603,Female,43,Divorced,Doctorate,Other,8,5,526,Fixed-term,Hybrid,Executive,4522,50,6640,2,disagree,0,HR,2,2,0,4720,0.04,9,neutral,strongly disagree,neutral,strongly agree,0
604,Female,31,Single,Post-graduate,Medical,10,10,1252,Contract,On-Site,Executive,6812,51,6151,3,disagree,3,HR,9,8,1,5820,9.99,36,neutral,agree,strongly disagree,agree,0
605,Male,36,Married,Doctorate,Life Sciences,4,1,407,Casual/adhoc,On-Site,Mid,3688,37,7921,4,neutral,6,Technical,0,0,0,6453,8.02,11,neutral,disagree,strongly agree,strongly agree,0
606,Male,44,Single,Doctorate,Other,20,20,1225,Fixed-term,Remote,Senior,4541,36,4556,1,agree,1,Finance,11,17,13,5057,7.87,29,neutral,strongly agree,strongly agree,neutral,0
607,Male,45,Married,Post-graduate,Technical Degree,10,3,1465,Permanent,Remote,Junior,9380,50,7361,4,disagree,1,Finance,1,2,1,9245,5.1,26,agree,strongly agree,strongly agree,agree,0
608,Female,46,Divorced,Post-graduate,Medical,19,10,550,Permanent,Hybrid,Senior,4810,39,9064,1,disagree,4,Management,7,8,0,9594,3.0,38,disagree,disagree,neutral,strongly agree,0
609,Female,31,Divorced,Post-graduate,Marketing,2,2,399,Fixed-term,Remote,Mid,2789,35,9585,5,agree,6,Operations,2,2,2,3481,1.51,8,disagree,strongly disagree,disagree,strongly agree,0
610,Female,27,Single,Post-graduate,Life Sciences,4,4,434,Fixed-term,Hybrid,Mid,2478,43,6574,2,strongly agree,4,Finance,3,2,1,5939,2.85,20,disagree,agree,disagree,agree,0
611,Female,38,Married,Post-graduate,Medical,18,1,634,Casual/adhoc,Remote,Mid,9824,33,6866,5,agree,10,Operations,0,0,0,2980,3.76,11,neutral,strongly agree,neutral,agree,0
612,Female,38,Married,Undergraduate,Medical,10,5,1638,Permanent,On-Site,Graduate/intern,7756,57,4516,5,neutral,7,Technical,4,2,0,4987,7.56,28,strongly agree,agree,neutral,strongly agree,0
613,Male,31,Married,Post-graduate,Technical Degree,6,5,1749,Casual/adhoc,Hybrid,Senior,8346,54,5998,4,strongly agree,6,Management,2,2,0,645,5.4,32,neutral,disagree,neutral,agree,0
614,Female,33,Married,Doctorate,Other,6,6,998,Fixed-term,Hybrid,Senior,5488,42,4379,2,strongly disagree,9,Technical,5,2,1,2027,0.77,42,neutral,agree,disagree,neutral,0
615,Male,44,Divorced,Undergraduate,Medical,6,5,1792,Fixed-term,On-Site,Executive,2342,49,2178,1,agree,13,Management,3,3,2,4252,0.18,14,disagree,disagree,disagree,agree,1
616,Female,33,Single,Post-graduate,Life Sciences,11,0,1758,Fixed-term,Hybrid,Executive,8564,46,0,1,neutral,11,Finance,0,0,0,104,1.02,1,disagree,strongly disagree,strongly disagree,disagree,1
617,Female,35,Single,Post-graduate,Life Sciences,11,11,1529,Casual/adhoc,Hybrid,Executive,8606,52,6591,3,strongly agree,3,Technical,8,3,3,5633,4.1,38,strongly disagree,disagree,disagree,neutral,0
618,Male,25,Married,Undergraduate,Marketing,1,1,952,Permanent,Remote,Mid,2413,36,3638,1,agree,17,Finance,0,0,0,9654,9.33,43,neutral,disagree,disagree,strongly disagree,1
619,Male,32,Divorced,Post-graduate,Medical,10,9,1671,Fixed-term,Hybrid,Senior,5470,33,8116,4,disagree,13,Finance,5,6,1,5478,6.37,17,disagree,strongly agree,disagree,agree,0
620,Male,28,Single,Post-graduate,Medical,5,5,1947,Contract,On-Site,Mid,2144,58,5764,5,agree,8,Operations,3,4,1,6333,8.02,2,disagree,agree,neutral,strongly agree,0
621,Male,32,Single,5,Life Sciences,8,5,231,Casual/adhoc,Remote,Graduate/intern,3038,43,8843,5,strongly disagree,0,Management,4,4,1,2763,4.66,6,neutral,strongly agree,neutral,neutral,0
622,Male,42,Single,Undergraduate,Other,24,1,1595,Permanent,Remote,Executive,19613,32,11370,5,agree,10,HR,0,1,0,9565,3.62,42,neutral,neutral,agree,strongly agree,0
623,Male,36,Divorced,Post-graduate,Other,9,1,1052,Fixed-term,On-Site,Mid,4834,53,2667,2,strongly agree,18,HR,0,0,0,3426,1.08,17,disagree,disagree,neutral,strongly agree,1
624,Female,43,Married,Post-graduate,Life Sciences,12,5,902,Permanent,On-Site,Mid,5562,34,6016,1,strongly agree,7,Operations,2,2,2,3759,8.76,43,disagree,neutral,strongly agree,agree,0
625,Female,40,Divorced,Post-graduate,Technical Degree,7,5,1239,Permanent,Remote,Graduate/intern,6852,45,4580,4,agree,0,Operations,1,3,1,1231,7.83,37,strongly agree,strongly agree,disagree,neutral,0
626,Female,36,Married,Doctorate,Technical Degree,10,10,1880,Fixed-term,Hybrid,Junior,5673,55,7792,2,strongly agree,3,Operations,9,7,1,4863,1.68,36,neutral,agree,neutral,strongly agree,0
627,Male,24,Married,Post-graduate,Medical,3,2,632,Fixed-term,Remote,Senior,2400,52,7656,3,disagree,10,Finance,2,1,2,6837,5.12,32,neutral,strongly agree,agree,strongly agree,0
628,Male,56,Divorced,Doctorate,Life Sciences,13,13,2026,Permanent,On-Site,Junior,6306,49,6958,4,agree,10,Technical,12,9,1,5192,4.87,43,disagree,agree,neutral,agree,0
629,Female,37,Married,Undergraduate,Medical,10,5,900,Casual/adhoc,Remote,Executive,2973,33,7532,4,disagree,6,Management,4,0,0,6122,6.25,30,neutral,agree,strongly agree,neutral,0
630,Female,41,Single,Undergraduate,Life Sciences,8,6,1,Casual/adhoc,On-Site,Mid,5993,53,2537,4,disagree,13,Operations,4,5,0,3259,9.46,10,strongly disagree,strongly disagree,strongly agree,strongly disagree,1
631,Female,59,Single,Post-graduate,Life Sciences,30,5,1032,Contract,Remote,Graduate/intern,13726,59,4173,5,neutral,0,Technical,3,3,4,6259,5.8,3,neutral,disagree,strongly agree,strongly agree,0
632,Female,31,Married,Doctorate,Marketing,9,3,1833,Casual/adhoc,Hybrid,Graduate/intern,9637,53,5981,4,agree,7,Finance,2,2,2,7418,5.4,17,neutral,strongly agree,strongly disagree,strongly disagree,0
633,Male,35,Single,Post-graduate,Life Sciences,10,10,1797,Contract,Remote,Senior,5813,31,2261,1,strongly agree,13,Management,7,7,7,8545,0.5,3,neutral,agree,agree,disagree,1
634,Male,26,Married,Doctorate,Medical,8,8,1177,Fixed-term,Remote,Junior,4420,59,5730,4,disagree,15,Finance,7,7,0,5407,0.63,48,neutral,strongly agree,strongly agree,agree,0
635,Male,34,Divorced,Doctorate,Medical,5,5,277,Permanent,On-Site,Senior,3815,47,8119,5,neutral,2,Technical,3,0,2,8620,1.87,33,agree,strongly agree,neutral,agree,0
636,Male,19,Single,Undergraduate,Life Sciences,1,1,1193,Fixed-term,On-Site,Mid,2552,48,7619,4,agree,5,Management,1,0,0,3144,0.32,28,neutral,agree,strongly disagree,agree,0
637,Female,30,Married,Post-graduate,Life Sciences,12,10,228,Contract,On-Site,Senior,9419,60,3952,3,agree,5,Operations,9,4,7,9712,7.43,23,neutral,neutral,agree,neutral,0
638,Male,40,Divorced,Undergraduate,Life Sciences,6,4,1340,Contract,Remote,Graduate/intern,3544,57,9598,3,strongly disagree,7,Management,2,0,0,5736,7.23,21,neutral,disagree,neutral,strongly agree,0
639,Male,37,Single,Doctorate,Medical,16,5,102,Casual/adhoc,Hybrid,Graduate/intern,13664,57,7110,5,strongly disagree,8,Operations,2,2,0,2992,1.36,1,agree,disagree,neutral,strongly agree,0
640,Female,42,Divorced,Undergraduate,Life Sciences,19,5,547,Fixed-term,On-Site,Executive,4556,48,4901,1,disagree,9,Management,4,2,0,5388,8.36,43,neutral,strongly disagree,neutral,agree,0
641,Male,29,Single,Doctorate,Technical Degree,11,9,1522,Fixed-term,On-Site,Executive,2362,46,943,1,strongly disagree,17,Management,7,7,0,5912,1.55,5,strongly disagree,strongly disagree,strongly disagree,disagree,1
642,Female,47,Single,Undergraduate,Life Sciences,9,9,1003,Fixed-term,Remote,Mid,4163,60,6333,2,disagree,0,HR,0,7,0,754,3.01,41,neutral,strongly disagree,strongly agree,neutral,0
643,Female,45,Divorced,Undergraduate,Life Sciences,9,5,240,Contract,On-Site,Junior,5006,43,5764,5,strongly agree,0,Management,4,3,0,5581,2.49,24,agree,disagree,strongly disagree,strongly agree,0
644,Male,33,Single,Doctorate,Other,10,10,780,Permanent,Hybrid,Senior,2686,48,142,4,disagree,14,HR,9,8,7,859,3.72,20,disagree,neutral,agree,strongly disagree,1
645,Male,28,Married,Post-graduate,Life Sciences,5,5,1387,Fixed-term,Hybrid,Mid,4724,51,5287,5,strongly disagree,4,Technical,3,4,0,6882,2.55,15,neutral,disagree,strongly disagree,agree,0
646,Female,38,Single,School,Life Sciences,8,0,662,Casual/adhoc,On-Site,Executive,2619,53,7869,2,strongly agree,2,Technical,0,0,0,1898,4.89,30,disagree,disagree,strongly disagree,agree,0
647,Male,52,Divorced,Doctorate,Life Sciences,16,9,2019,Permanent,On-Site,Senior,3482,42,4817,5,strongly disagree,3,Finance,8,0,0,5259,4.07,13,disagree,disagree,strongly agree,agree,0
648,Male,36,Single,Undergraduate,Life Sciences,16,13,304,Fixed-term,Remote,Executive,5914,41,7426,5,disagree,3,HR,11,7,3,8546,9.87,38,strongly agree,disagree,disagree,neutral,0
649,Male,40,Married,Doctorate,Technical Degree,14,11,1092,Fixed-term,Hybrid,Senior,10322,59,8030,2,neutral,7,HR,10,1,11,5362,0.56,27,neutral,neutral,agree,neutral,0
650,Male,55,Single,School,Medical,12,9,842,Contract,Hybrid,Junior,5160,55,1099,1,agree,11,HR,7,3,7,3923,1.42,31,disagree,strongly disagree,agree,disagree,1
651,Male,32,Single,Doctorate,Medical,12,11,125,Permanent,On-Site,Mid,5010,35,7661,4,strongly disagree,4,HR,8,7,5,1976,0.53,27,neutral,strongly agree,neutral,strongly agree,0
652,Male,28,Divorced,Post-graduate,Life Sciences,1,1,1506,Contract,Remote,Senior,1563,50,7021,2,disagree,4,HR,0,0,0,6254,6.26,50,strongly disagree,strongly disagree,neutral,neutral,0
653,Male,31,Married,Doctorate,Medical,10,10,1389,Fixed-term,Hybrid,Graduate/intern,6179,60,3077,3,strongly agree,16,Management,2,7,6,7887,0.55,48,disagree,strongly disagree,neutral,neutral,1
654,Male,37,Single,Doctorate,Medical,10,10,1809,Permanent,Hybrid,Graduate/intern,4213,33,2029,1,strongly disagree,10,Operations,3,8,0,4616,8.36,8,strongly disagree,strongly agree,strongly disagree,strongly disagree,1
655,Female,55,Single,Post-graduate,Life Sciences,30,5,505,Permanent,Remote,Senior,16659,48,8097,3,strongly disagree,11,Management,4,2,1,3834,5.12,44,neutral,disagree,strongly agree,neutral,0
656,Male,29,Married,Post-graduate,Life Sciences,5,1,1558,Permanent,Remote,Senior,2451,45,4977,1,agree,2,Technical,0,0,0,9536,5.27,21,disagree,neutral,neutral,strongly agree,0
657,Male,46,Divorced,Doctorate,Medical,24,2,1789,Casual/adhoc,Hybrid,Senior,19328,42,4518,4,disagree,0,HR,1,2,2,6072,5.62,31,neutral,neutral,agree,agree,0
658,Male,35,Married,Undergraduate,Life Sciences,1,1,1601,Contract,Hybrid,Graduate/intern,2690,33,10359,4,neutral,4,Operations,0,1,0,6739,1.71,4,disagree,strongly disagree,agree,neutral,0
659,Male,55,Married,5,Marketing,36,36,1578,Fixed-term,Remote,Graduate/intern,19586,59,6980,5,strongly agree,0,Management,6,13,2,5456,1.98,22,neutral,strongly agree,agree,agree,0
660,Male,42,Married,School,Life Sciences,20,20,387,Permanent,Hybrid,Senior,4907,52,8770,3,disagree,15,Management,16,6,11,6480,3.19,4,neutral,agree,neutral,strongly disagree,0
661,Male,31,Married,Post-graduate,Technical Degree,10,8,416,Contract,On-Site,Executive,6929,46,9246,1,strongly agree,1,Management,7,7,7,1108,5.93,41,disagree,disagree,strongly agree,strongly agree,0
662,Male,56,Married,Post-graduate,Medical,30,10,762,Casual/adhoc,On-Site,Executive,11103,52,7602,4,strongly disagree,7,Operations,7,1,1,4414,2.1,31,disagree,strongly disagree,strongly agree,agree,0
663,Female,29,Married,Undergraduate,Life Sciences,1,1,816,Permanent,Remote,Junior,2319,30,1834,2,agree,16,Operations,0,0,0,9802,1.16,9,neutral,neutral,strongly disagree,disagree,1
664,Male,30,Single,Post-graduate,Medical,1,1,1876,Casual/adhoc,Remote,Mid,1081,47,1807,4,agree,12,HR,0,0,0,2608,9.7,38,disagree,strongly agree,agree,neutral,1
665,Female,36,Married,Doctorate,Technical Degree,10,7,1312,Contract,Remote,Executive,7094,60,10716,2,neutral,13,HR,7,7,1,4858,0.22,14,neutral,strongly agree,neutral,agree,0
666,Female,24,Married,Undergraduate,Life Sciences,1,1,1219,Fixed-term,On-Site,Graduate/intern,2210,49,3257,1,agree,18,Management,0,0,0,2782,8.03,6,strongly disagree,strongly disagree,disagree,strongly disagree,1
667,Female,30,Divorced,Doctorate,Marketing,8,3,1428,Contract,Hybrid,Executive,4779,46,7852,4,strongly disagree,1,Management,2,2,0,7411,7.88,28,neutral,agree,strongly disagree,neutral,0
668,Female,29,Married,School,Other,9,7,1544,Fixed-term,On-Site,Junior,9715,56,8854,4,neutral,1,Finance,7,7,0,1089,2.97,46,neutral,neutral,strongly disagree,agree,0
669,Male,40,Single,Post-graduate,Life Sciences,9,9,1346,Contract,Hybrid,Junior,4661,57,8001,1,disagree,8,Finance,8,8,8,8546,1.36,2,neutral,strongly disagree,strongly agree,strongly agree,0
670,Female,39,Married,School,Life Sciences,8,8,602,Permanent,On-Site,Mid,3755,56,9668,4,agree,4,HR,3,7,0,4811,1.46,18,neutral,agree,neutral,agree,0
